Latitude, Longitude
37.917878, -122.331556
37.917878, -122.331496
37.917901, -122.331538
37.917901, -122.331478
37.917924, -122.331520
37.917924, -122.331460
37.917948, -122.331502
37.917948, -122.331442
37.917971, -122.331485
37.917971, -122.331425
37.917994, -122.331467
37.917994, -122.331407
37.918017, -122.331449
37.918017, -122.331389
37.918040, -122.331431
37.918040, -122.331371
37.918064, -122.331413
37.918064, -122.331353
37.918087, -122.331395
37.918087, -122.331335
37.918110, -122.331377
37.918110, -122.331317
37.918133, -122.331359
37.918133, -122.331299
37.918156, -122.331341
37.918156, -122.331281
37.918180, -122.331323
37.918180, -122.331263
37.918203, -122.331306
37.918203, -122.331246
